33.7, 36.4, 39.6, 11.7612, 6.5736
37.3, 40, 43.5, 12.354, 6.525
13.5, 14.7, 16.5, 6.8475, 2.3265
14.3, 15.5, 17.4, 6.5772, 2.3142
16.3, 17.7, 19.8, 7.4052, 2.673
17.5, 19, 21.3, 8.3922, 2.9181
18.4, 20, 22.4, 8.8928, 3.2928
19, 20.7, 23.2, 8.5376, 3.2944
19, 20.7, 23.2, 9.396, 3.4104
19.8, 21.5, 24.1, 9.7364, 3.1571
21.2, 23, 25.8, 10.3458, 3.6636
23, 25, 28, 11.088, 4.144
24, 26, 29, 11.368, 4.234
7.5, 8.4, 8.8, 2.112, 1.408
12.5, 13.7, 14.7, 3.528, 1.9992
13.8, 15, 16, 3.824, 2.432
15, 16.2, 17.2, 4.5924, 2.6316
15.7, 17.4, 18.5, 4.588, 2.9415
16.2, 18, 19.2, 5.2224, 3.3216
16.8, 18.7, 19.4, 5.1992, 3.1234
17.2, 19, 20.2, 5.6358, 3.0502
17.8, 19.6, 20.8, 5.1376, 3.0368
18.2, 20, 21, 5.082, 2.772
19, 21, 22.5, 5.6925, 3.555
19, 21, 22.5, 5.9175, 3.3075
19, 21, 22.5, 5.6925, 3.6675
19.3, 21.3, 22.8, 6.384, 3.534
20, 22, 23.5, 6.11, 3.4075
20, 22, 23.5, 5.64, 3.525
20, 22, 23.5, 6.11, 3.525
20, 22, 23.5, 5.875, 3.525
20, 22, 23.5, 5.5225, 3.995
20.5, 22.5, 24, 5.856, 3.624
20.5, 22.5, 24, 6.792, 3.624
20.7, 22.7, 24.2, 5.9532, 3.63
21, 23, 24.5, 5.2185, 3.626
21.5, 23.5, 25, 6.275, 3.725
22, 24, 25.5, 7.293, 3.723
22, 24, 25.5, 6.375, 3.825
22.6, 24.6, 26.2, 6.7334, 4.1658
23, 25, 26.5, 6.4395, 3.6835
23.5, 25.6, 27, 6.561, 4.239
25, 26.5, 28, 7.168, 4.144
25.2, 27.3, 28.7, 8.323, 5.1373
25.4, 27.5, 28.9, 7.1672, 4.335
25.4, 27.5, 28.9, 7.0516, 4.335
25.4, 27.5, 28.9, 7.2828, 4.5662
25.9, 28, 29.4, 7.8204, 4.2042
26.9, 28.7, 30.1, 7.5852, 4.6354
27.8, 30, 31.6, 7.6156, 4.7716
30.5, 32.8, 34, 10.03, 6.018
32, 34.5, 36.5, 10.2565, 6.3875
32.5, 35, 37.3, 11.4884, 7.7957
34, 36.5, 39, 10.881, 6.864
34, 36, 38.3, 10.6091, 6.7408
34.5, 37, 39.4, 10.835, 6.2646
34.6, 37, 39.3, 10.5717, 6.3666
36.5, 39, 41.4, 11.1366, 7.4934
36.5, 39, 41.4, 11.1366, 6.003
36.6, 39, 41.3, 12.4313, 7.3514
36.9, 40, 42.3, 11.9286, 7.1064
37, 40, 42.5, 11.73, 7.225
37, 40, 42.4, 12.3808, 7.4624
37.1, 40, 42.5, 11.135, 6.63
39, 42, 44.6, 12.8002, 6.8684
39.8, 43, 45.2, 11.9328, 7.2772
40.1, 43, 45.5, 12.5125, 7.4165
40.2, 43.5, 46, 12.604, 8.142
41.1, 44, 46.6, 12.4888, 7.5958
